dataset,flakyTrain,nonFlakyTrain,flakyTest,nonFlakyTest,loss,accuracy,precision,recall,TP,TN,FP,FN
achilles,1106,21362,13,2,0.013880648650228977,1.0,1.0,1.0,13.0,2.0,0.0,0.0
alluxio-tachyon,1106,21362,1,547,0.01499489787966013,0.9945255517959595,0.25,1.0,1.0,544.0,3.0,0.0
ambari,1106,21362,1,2,2.9754831790924072,0.6666666865348816,0.0,0.0,0.0,2.0,0.0,1.0
hadoop,1106,21362,61,597,0.2414557784795761,0.9513677954673767,0.8717948794364929,0.5573770403862,34.0,592.0,5.0,27.0
jackrabbit-oak,1106,21362,2,1843,0.0037948167882859707,0.99891597032547,0.5,1.0,2.0,1841.0,2.0,0.0
jimfs,1106,21362,1,90,0.05030905455350876,0.9890109896659851,0.0,0.0,0.0,90.0,0.0,1.0
ninja,1106,21362,4,187,0.11222116649150848,0.9842932224273682,0.6666666865348816,0.5,2.0,186.0,1.0,2.0
okhttp,1106,21362,13,296,0.239797443151474,0.9644013047218323,0.6666666865348816,0.3076923191547394,4.0,294.0,2.0,9.0
oozie,1106,21362,171,63,0.15824684500694275,0.9658119678497314,1.0,0.9532163739204407,163.0,63.0,0.0,8.0
oryx,1106,21362,3,74,0.22994890809059143,0.9740259647369385,0.6666666865348816,0.6666666865348816,2.0,73.0,1.0,1.0
spring-boot,1106,21362,3,1361,0.007781748194247484,0.9992668628692627,1.0,0.6666666865348816,2.0,1361.0,0.0,1.0
togglz,1106,21362,2,77,0.15282319486141205,0.9746835231781006,0.5,0.5,1.0,76.0,1.0,1.0
wro4j,1106,21362,2,201,0.09491122514009476,0.9753694534301758,0.0,0.0,0.0,198.0,3.0,2.0
bilstm,-,-,-,-,-,-,0.5478303799262414,0.5501245466562418,-,-,-,-
